Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Trevor Best,Arizona State,G,11,0,12.8,1.2,2.9,0.406,0.5,1.4,0.400,0.6,1.5,0.412,0.500,0.7,1.1,0.667,0.3,0.6,0.9,0.5,0.3,0.0,0.5,1.7,3.6
Mihailo Boskovic,Brigham Young,F,30,0,11.1,1.2,3.1,0.380,0.5,1.9,0.268,0.7,1.2,0.556,0.462,0.7,0.9,0.815,0.3,1.4,1.7,0.4,0.3,0.1,0.6,1.0,3.6
Benny Williams,UCF,F,35,1,13.0,1.5,3.5,0.439,0.1,0.7,0.217,1.4,2.9,0.490,0.459,0.4,0.9,0.467,0.8,1.3,2.1,0.8,0.4,0.5,0.6,1.4,3.6
Shakeel Moore,Kansas,G,20,9,13.9,1.4,2.9,0.474,0.4,1.1,0.333,1.0,1.8,0.556,0.535,0.6,0.9,0.647,0.3,1.4,1.7,1.4,0.6,0.2,1.0,0.7,3.6
Arrinten Page,Cincinnati,F,31,0,9.1,1.3,2.6,0.494,0.1,0.3,0.444,1.2,2.3,0.500,0.519,0.8,1.3,0.634,0.9,1.5,2.3,0.4,0.3,0.5,0.7,1.2,3.5
Tyler Betsey,Cincinnati,F,34,0,11.2,1.2,3.3,0.357,0.8,2.4,0.321,0.4,0.9,0.452,0.473,0.2,0.4,0.538,0.5,1.0,1.5,0.3,0.0,0.1,0.3,0.8,3.3
Eemeli Yalaho,Texas Tech,F,8,1,11.3,1.3,2.3,0.556,0.4,0.8,0.500,0.9,1.5,0.583,0.639,0.4,0.9,0.429,0.8,1.6,2.4,0.8,0.3,0.1,0.5,1.0,3.3
Tyler Hendricks,UCF,G,26,8,12.3,1.1,2.5,0.439,0.5,1.3,0.364,0.7,1.3,0.515,0.530,0.5,0.7,0.667,0.8,1.7,2.5,0.5,0.2,0.3,0.2,1.2,3.2
Harrison Carrington,Colorado,G,30,1,8.9,0.9,1.5,0.609,0.2,0.6,0.333,0.7,0.9,0.786,0.674,1.0,1.3,0.769,0.5,0.7,1.2,0.2,0.3,0.2,0.7,1.0,3.1
Cole Despie,TCU,G,1,0,1.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Dior Johnson,UCF,G,35,0,8.5,1.1,2.4,0.459,0.2,0.7,0.304,0.9,1.8,0.516,0.500,0.5,0.6,0.900,0.2,0.8,1.0,0.8,0.3,0.0,0.6,0.7,2.9
