player,age,G,GS,MP,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,eFG_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_per_G,team
Sam Dekker,24,9,5,18.8,2.4,5.3,.458,0.6,1.4,.385,1.9,3.9,.486,.510,0.9,1.1,.800,1.0,2.7,3.7,1.0,1.2,0.0,0.6,1.4,6.3,CLE
Patrick McCaw,23,3,0,17.7,0.7,3.0,.222,0.3,1.3,.250,0.3,1.7,.200,.278,0.0,0.0,,0.0,1.0,1.0,0.7,0.7,0.0,1.0,0.3,1.7,CLE
Jaron Blossomgame,25,24,4,16.9,1.8,3.9,.468,0.4,1.3,.313,1.4,2.6,.548,.521,0.4,0.5,.769,1.0,2.8,3.8,0.5,0.3,0.3,0.5,0.8,4.5,CLE
David Nwaba,26,21,6,16.4,2.0,4.7,.424,0.4,1.7,.257,1.6,3.0,.516,.470,1.5,2.4,.640,0.5,2.3,2.8,0.7,0.6,0.3,0.4,1.7,6.0,CLE
Kyle Korver,37,16,0,15.7,2.2,4.8,.461,1.6,3.4,.463,0.6,1.4,.455,.625,0.8,1.0,.813,0.0,1.8,1.8,1.1,0.2,0.1,1.1,1.4,6.8,CLE
Ante Zizic,22,35,8,15.5,2.6,4.9,.526,0.0,0.0,,2.6,4.9,.526,.526,1.5,2.1,.726,1.5,3.2,4.8,0.7,0.2,0.4,0.8,1.7,6.7,CLE
Andrew Harrison,24,10,0,14.4,1.2,3.9,.308,0.3,1.4,.214,0.9,2.5,.360,.346,1.6,1.6,1.000,0.4,1.1,1.5,1.7,0.4,0.2,1.0,2.6,4.3,CLE
Jalen Jones,25,16,0,13.4,1.6,3.9,.419,0.6,1.8,.357,1.0,2.1,.471,.500,1.2,1.7,.704,0.7,1.4,2.1,0.4,0.6,0.1,0.5,1.7,5.1,CLE
Channing Frye,35,26,5,10.3,1.2,3.3,.345,0.8,2.2,.379,0.3,1.1,.276,.471,0.3,0.5,.750,0.2,1.4,1.6,0.6,0.2,0.2,0.4,1.3,3.5,CLE
Deng Adel,21,5,0,7.8,0.8,1.2,.667,0.6,0.8,.750,0.2,0.4,.500,.917,0.0,0.0,,0.2,1.0,1.2,0.2,0.2,0.4,0.4,0.2,2.2,CLE
John Holland,30,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE
Tobias Harris,26,50,50,34.6,7.7,15.5,.501,2.0,4.7,.432,5.7,10.7,.531,.567,3.5,4.0,.885,0.7,7.3,7.9,2.5,0.8,0.4,1.9,2.1,21.1,LAC
Danilo Gallinari,30,44,44,31.3,5.8,12.8,.450,2.4,5.5,.446,3.3,7.4,.452,.544,5.0,5.5,.906,0.9,5.0,6.0,2.5,0.7,0.3,1.4,2.1,19.0,LAC
Avery Bradley,28,44,44,29.8,3.3,8.6,.387,1.1,3.3,.336,2.2,5.3,.420,.452,0.4,0.5,.857,0.7,1.9,2.6,2.1,0.6,0.3,1.3,2.8,8.2,LAC
