Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_Opp,FGA_Opp,FG%_Opp,3P_Opp,3PA_Opp,3P%_Opp,2P_Opp,2PA_Opp,2P%_Opp,eFG%_Opp,FT_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,TRB_Opp,AST_Opp,STL_Opp,BLK_Opp,TOV_Opp,PF_Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
64,64,2025-03-09,@,DAL,W,125,116,,49,84,0.583,10,28,0.357,39,56,0.696,0.643,17,18,0.944,6,40,46,33,4,4,13,10,43,88,0.489,17,42,0.405,26,46,0.565,0.585,13,16,0.813,5,27,32,29,8,2,7,13,129.2,119.9,96.7,0.214,0.333,0.680,59.0,67.3,4.1,8.7,0.643,12.4,18.2,0.202,0.585,6.9,11.1,0.148
65,65,2025-03-10,@,MEM,L,118,120,,41,90,0.456,20,38,0.526,21,52,0.404,0.567,16,22,0.727,15,31,46,31,6,2,16,22,40,86,0.465,17,46,0.370,23,40,0.575,0.564,23,27,0.852,11,28,39,26,9,7,15,22,120.8,122.8,97.7,0.244,0.422,0.592,54.1,75.6,6.1,5.0,0.567,13.8,34.9,0.178,0.564,13.3,26.2,0.267
66,66,2025-03-12,@,HOU,L,104,111,,39,73,0.534,10,28,0.357,29,45,0.644,0.603,16,20,0.800,5,32,37,22,7,8,17,18,40,88,0.455,12,38,0.316,28,50,0.560,0.523,19,25,0.760,11,27,38,25,11,3,9,19,111.7,119.2,93.1,0.274,0.384,0.636,49.3,56.4,7.5,16.0,0.603,17.2,15.6,0.219,0.523,8.3,25.6,0.216
67,67,2025-03-14,,SAC,W,122,106,,41,79,0.519,24,43,0.558,17,36,0.472,0.671,16,19,0.842,7,27,34,33,12,3,14,15,40,81,0.494,8,32,0.250,32,49,0.653,0.543,18,20,0.900,12,28,40,25,7,1,19,18,130.5,113.4,93.5,0.241,0.544,0.698,45.9,80.5,12.8,6.1,0.671,13.8,20.0,0.203,0.543,17.5,30.8,0.222
68,68,2025-03-16,@,LAL,L,96,107,,35,89,0.393,9,41,0.220,26,48,0.542,0.444,17,21,0.810,14,37,51,25,4,4,14,27,35,81,0.432,14,39,0.359,21,42,0.500,0.519,23,32,0.719,7,33,40,22,7,5,10,20,101.0,112.5,95.1,0.236,0.461,0.489,56.0,71.4,4.2,9.5,0.444,12.5,29.8,0.191,0.519,9.5,15.9,0.284
69,69,2025-03-17,,TOR,W,129,89,,47,92,0.511,20,39,0.513,27,53,0.509,0.620,15,15,1.000,12,42,54,34,7,4,10,21,31,87,0.356,10,35,0.286,21,52,0.404,0.414,17,23,0.739,12,28,40,20,4,2,12,15,136.9,94.5,94.2,0.163,0.424,0.654,57.4,72.3,7.4,7.7,0.620,9.2,30.0,0.163,0.414,11.0,22.2,0.195
70,70,2025-03-19,,CHI,W,127,121,,47,96,0.490,15,40,0.375,32,56,0.571,0.568,18,20,0.900,13,33,46,34,9,6,11,13,49,90,0.544,15,38,0.395,34,52,0.654,0.628,8,12,0.667,8,32,40,29,7,8,13,19,127.6,121.6,99.5,0.208,0.417,0.606,53.5,72.3,9.0,11.5,0.568,9.5,28.9,0.188,0.628,12.0,19.5,0.089
71,71,2025-03-21,,CLE,W,123,112,,48,92,0.522,19,42,0.452,29,50,0.580,0.625,8,8,1.000,12,34,46,33,6,3,15,16,42,94,0.447,17,45,0.378,25,49,0.510,0.537,11,14,0.786,16,28,44,24,11,5,11,12,130.2,118.6,94.4,0.087,0.457,0.644,51.1,68.8,6.4,6.1,0.625,13.6,30.0,0.087,0.537,9.9,32.0,0.117
72,72,2025-03-24,,MIL,W,108,106,,39,82,0.476,14,36,0.389,25,46,0.543,0.561,16,18,0.889,14,38,52,25,2,4,16,21,37,83,0.446,12,39,0.308,25,44,0.568,0.518,20,29,0.690,9,27,36,24,12,0,7,16,118.9,116.7,90.8,0.220,0.439,0.601,59.1,64.1,2.2,9.1,0.561,15.1,34.1,0.195,0.518,6.8,19.1,0.241
73,73,2025-03-26,,BOS,L,102,132,,36,87,0.414,13,41,0.317,23,46,0.500,0.489,17,21,0.810,11,27,38,22,7,3,14,18,45,89,0.506,22,52,0.423,23,37,0.622,0.629,20,22,0.909,11,37,48,33,8,7,11,18,106.2,137.5,96.0,0.241,0.471,0.530,44.2,61.1,7.3,8.1,0.489,12.7,22.9,0.195,0.629,10.0,28.9,0.225
